Model,Nb_Layer_Block,Dropout,Input_Type,Layer_size,pLDDT_threshold,is_top_50_SF,Support_threshold,F1_Score
ProstT5_full,2,0.2,3Di,512,14.0,False,0,0.6467868210388924
ProstT5_full,2,0.2,3Di,512,24.0,False,0,0.6498919376954044
ProstT5_full,2,0.2,3Di,512,34.0,False,0,0.6394182565171735
ProstT5_full,2,0.2,3Di,512,44.0,False,0,0.643819878167321
ProstT5_full,2,0.2,3Di,512,54.0,False,0,0.6447196617155323
ProstT5_full,2,0.2,3Di,512,64.0,False,0,0.6426198809678848
ProstT5_full,3,0.2,3Di,512,0.0,False,0,0.6380504977686882
ProstT5_full,3,0.2,3Di,512,14.0,False,0,0.6435521565157618
ProstT5_full,3,0.2,3Di,512,24.0,False,0,0.6381533863518054
ProstT5_full,3,0.2,3Di,512,34.0,False,0,0.6419183390402297
ProstT5_full,3,0.2,3Di,512,44.0,False,0,0.6483730448335095
ProstT5_full,3,0.2,3Di,512,54.0,False,0,0.6423429296457963
ProstT5_full,3,0.2,3Di,512,64.0,False,0,0.6417464300593381
ProstT5_full,1,0.2,3Di,1024,0.0,False,0,0.6409428774837097
ProstT5_full,1,0.2,3Di,1024,14.0,False,0,0.6395577491836645
ProstT5_full,1,0.2,3Di,1024,24.0,False,0,0.6467182672154774
ProstT5_full,1,0.2,3Di,1024,34.0,False,0,0.6474226754042625
ProstT5_full,1,0.2,3Di,1024,44.0,False,0,0.6463643536371232
ProstT5_full,1,0.2,3Di,1024,54.0,False,0,0.6445999573737675
ProstT5_full,1,0.2,3Di,1024,64.0,False,0,0.6444754110770405
ProstT5_full,2,0.2,3Di,1024,0.0,False,0,0.653180972693675
ProstT5_full,2,0.2,3Di,1024,14.0,False,0,0.662212393479996
ProstT5_full,2,0.2,3Di,1024,24.0,False,0,0.6503497895945778
ProstT5_full,2,0.2,3Di,1024,34.0,False,0,0.6481906189539894
ProstT5_full,2,0.2,3Di,1024,44.0,False,0,0.6520283283861557
ProstT5_full,2,0.2,3Di,1024,54.0,False,0,0.6537726372725563
ProstT5_full,2,0.2,3Di,1024,64.0,False,0,0.6470265927896296
ProstT5_full,3,0.2,3Di,1024,0.0,False,0,0.6447012240256542
ProstT5_full,3,0.2,3Di,1024,14.0,False,0,0.6587851058671009
ProstT5_full,3,0.2,3Di,1024,24.0,False,0,0.6495191834574995
ProstT5_full,3,0.2,3Di,1024,34.0,False,0,0.6496529832368232
ProstT5_full,3,0.2,3Di,1024,44.0,False,0,0.6504858432533793
ProstT5_full,3,0.2,3Di,1024,54.0,False,0,0.6537730080385669
ProstT5_full,3,0.2,3Di,1024,64.0,False,0,0.6510759687070999
ProstT5_full,1,0.3,3Di,512,0.0,False,0,0.6388805393455359
ProstT5_full,1,0.3,3Di,512,14.0,False,0,0.6417391121319527
ProstT5_full,1,0.3,3Di,512,24.0,False,0,0.6411946108418788
ProstT5_full,1,0.3,3Di,512,34.0,False,0,0.6383165277389691
ProstT5_full,1,0.3,3Di,512,44.0,False,0,0.6432854103761245
ProstT5_full,1,0.3,3Di,512,54.0,False,0,0.6435489636522083
ProstT5_full,1,0.3,3Di,512,64.0,False,0,0.6464893668787649
ProstT5_full,2,0.3,3Di,512,0.0,False,0,0.6446399881966998
ProstT5_full,2,0.3,3Di,512,14.0,False,0,0.6520089690502641
ProstT5_full,2,0.3,3Di,512,24.0,False,0,0.6375980873120829
ProstT5_full,2,0.3,3Di,512,34.0,False,0,0.6491664012218896
ProstT5_full,2,0.3,3Di,512,44.0,False,0,0.6457323983659113
ProstT5_full,2,0.3,3Di,512,54.0,False,0,0.6439167013377303
ProstT5_full,2,0.3,3Di,512,64.0,False,0,0.6481941969905817
ProstT5_full,3,0.3,3Di,512,0.0,False,0,0.6277725429247928
ProstT5_full,3,0.3,3Di,512,14.0,False,0,0.6327954967626945
ProstT5_full,3,0.3,3Di,512,24.0,False,0,0.6356327881283306
ProstT5_full,3,0.3,3Di,512,34.0,False,0,0.6353160915021717
ProstT5_full,3,0.3,3Di,512,44.0,False,0,0.6348755949236927
ProstT5_full,3,0.3,3Di,512,54.0,False,0,0.6322555845293405
ProstT5_full,3,0.3,3Di,512,64.0,False,0,0.6357100600339524
ProstT5_full,1,0.3,3Di,1024,0.0,False,0,0.6396669901852085
ProstT5_full,1,0.3,3Di,1024,14.0,False,0,0.6451434584930269
ProstT5_full,1,0.3,3Di,1024,24.0,False,0,0.6444905918174041
ProstT5_full,1,0.3,3Di,1024,34.0,False,0,0.6436528702716261
ProstT5_full,1,0.3,3Di,1024,44.0,False,0,0.6423558096183616
ProstT5_full,1,0.3,3Di,1024,54.0,False,0,0.6381034202834429
ProstT5_full,1,0.3,3Di,1024,64.0,False,0,0.6435545733509488
ProstT5_full,2,0.3,3Di,1024,0.0,False,0,0.6552689011478279
ProstT5_full,2,0.3,3Di,1024,14.0,False,0,0.6557254544191898
ProstT5_full,2,0.3,3Di,1024,24.0,False,0,0.6567065387568524
ProstT5_full,2,0.3,3Di,1024,34.0,False,0,0.6497936500173505
ProstT5_full,2,0.3,3Di,1024,44.0,False,0,0.6568218475453179
ProstT5_full,2,0.3,3Di,1024,54.0,False,0,0.6482357204941727
ProstT5_full,2,0.3,3Di,1024,64.0,False,0,0.6497493853529197
ProstT5_full,3,0.3,3Di,1024,0.0,False,0,0.6448391424338737
ProstT5_full,3,0.3,3Di,1024,14.0,False,0,0.6484263946011756
ProstT5_full,3,0.3,3Di,1024,24.0,False,0,0.6459298979320198
ProstT5_full,3,0.3,3Di,1024,34.0,False,0,0.6436832694224649
ProstT5_full,3,0.3,3Di,1024,44.0,False,0,0.6516872500671269
ProstT5_full,3,0.3,3Di,1024,54.0,False,0,0.6499124494517431
ProstT5_full,3,0.3,3Di,1024,64.0,False,0,0.6463380714423842
ESM2,2,0.1,AA,1024,0.0,False,0,0.715509805234737
Ankh_large,2,0.1,AA,1024,0.0,False,0,0.7241993423023123
Ankh_base,2,0.1,AA,1024,0.0,False,0,0.6851719150371084
TM_Vec,2,0.1,AA,1024,0.0,False,0,0.7306806859710135
ProtT5,3,0.5,AA,1024,0.0,False,0,0.7404391068794068
ProstT5_half,2,0.1,AA,1024,0.0,False,0,0.7900733847141556
ProstT5_half,2,0.2,AA,1024,0.0,False,0,0.7852333968547592
Ankh_base,2,0.2,AA,1024,0.0,False,0,0.689295983099847
Ankh_large,2,0.2,AA,1024,0.0,False,0,0.7182868479089863
TM_Vec,2,0.2,AA,1024,0.0,False,0,0.731661165480322
ProtT5,2,0.2,AA,1024,0.0,False,0,0.7648438728029442
ESM2,2,0.2,AA,1024,0.0,False,0,0.7109969848797204
ProstT5_half,2,0.3,AA,1024,0.0,False,0,0.7892885350797861
Ankh_base,2,0.3,AA,1024,0.0,False,0,0.6765519542046874
Ankh_large,2,0.3,AA,1024,0.0,False,0,0.7115510635728015
TM_Vec,2,0.3,AA,1024,0.0,False,0,0.7477155821276484
ProtT5,2,0.3,AA,1024,0.0,False,0,0.7617998278767592
ESM2,2,0.3,AA,1024,0.0,False,0,0.7020314385487311
ProstT5_half,2,0.5,AA,1024,0.0,False,0,0.7683015643479121
Ankh_base,2,0.5,AA,1024,0.0,False,0,0.655174146262561
Ankh_large,2,0.5,AA,1024,0.0,False,0,0.6887813622767877
TM_Vec,2,0.5,AA,1024,0.0,False,0,0.7534672353791547
ProtT5,2,0.5,AA,1024,0.0,False,0,0.7467859152167832
ESM2,2,0.5,AA,1024,0.0,False,0,0.7226458849662074
ProstT5_half,2,0.1,AA,64,0.0,False,0,0.7356837138515582
Ankh_base,2,0.1,AA,64,0.0,False,0,0.642729322526784
Ankh_large,2,0.1,AA,64,0.0,False,0,0.6576605745084462
TM_Vec,2,0.1,AA,64,0.0,False,0,0.6568217074307281
ProtT5,2,0.1,AA,64,0.0,False,0,0.722172623993829
ESM2,2,0.1,AA,64,0.0,False,0,0.6396124846959598
ProstT5_half,2,0.1,AA,512,0.0,False,0,0.7872992796543405
Ankh_base,2,0.1,AA,512,0.0,False,0,0.6798205757600709
Ankh_large,2,0.1,AA,512,0.0,False,0,0.7150071322025106
TM_Vec,2,0.1,AA,512,0.0,False,0,0.7158877734302087
ProtT5,2,0.1,AA,512,0.0,False,0,0.7488306128038049
ESM2,2,0.1,AA,512,0.0,False,0,0.7182031552656941
ProstT5_half,1,0.1,AA,1024,0.0,False,0,0.7797772160116203
Ankh_base,1,0.1,AA,1024,0.0,False,0,0.6763287456570877
Ankh_large,1,0.1,AA,1024,0.0,False,0,0.6925271465219961
TM_Vec,1,0.1,AA,1024,0.0,False,0,0.7345539544191158
ProtT5,1,0.1,AA,1024,0.0,False,0,0.7521206385857839
ESM2,1,0.1,AA,1024,0.0,False,0,0.7059164677319304
ProstT5_half,3,0.1,AA,1024,0.0,False,0,0.7832983403947452
Ankh_base,3,0.1,AA,1024,0.0,False,0,0.6854468651031427
Ankh_large,3,0.1,AA,1024,0.0,False,0,0.7202727707842992
TM_Vec,3,0.1,AA,1024,0.0,False,0,0.7290242300436054
ProtT5,3,0.1,AA,1024,0.0,False,0,0.7599788215327399
ESM2,3,0.1,AA,1024,0.0,False,0,0.7238402414296545
ProstT5_full,2,0.3,AA+3Di,1024,14.0,False,0,0.7946158201187176
ProstT5_full,2,0.3,AA+3Di,1024,24.0,False,0,0.7909313527953375
ProstT5_full,2,0.3,AA+3Di,1024,34.0,False,0,0.7998593677642057
ProstT5_full,2,0.3,AA+3Di,1024,44.0,False,0,0.7894643882920638
ProstT5_full,2,0.3,AA+3Di,1024,54.0,False,0,0.7957041982686675
ProstT5_full,2,0.3,AA+3Di,1024,64.0,False,0,0.7929771381918296
ProstT5_full,2,0.3,AA+3Di,1024,74.0,False,0,0.778217125946778
ProstT5_full,2,0.3,AA+3Di,1024,84.0,False,0,0.7151539121408145
ProstT5_full,2,0.3,3Di,256,0.0,False,0,0.6245690455790466
ProstT5_full,2,0.3,3Di,2048,0.0,False,0,0.6545554881965279
ProstT5_full,2,0.3,AA,2048,0.0,False,0,0.7856971146889555
ProstT5_full,2,0.3,AA+3Di,512,0.0,False,0,0.7864813143315575
ProstT5_full,2,0.3,AA+3Di,256,0.0,False,0,0.7824840302165618
ProstT5_full,2,0.1,3Di,1024,0.0,False,0,0.6440237970720785
ProstT5_full,2,0.5,3Di,1024,0.0,False,0,0.637043891638795
ProstT5_full,2,0.7,3Di,1024,0.0,False,0,0.5680802952468935
ProstT5_full,2,0.0,AA,1024,0.0,False,0,0.7694764669012413
ProstT5_full,2,0.7,AA,1024,0.0,False,0,0.7337632136333497
ProstT5_full,2,0.0,AA+3Di,1024,0.0,False,0,0.7791552038180449
ProstT5_full,2,0.1,AA+3Di,1024,0.0,False,0,0.7940009732587835
ProstT5_full,2,0.2,AA+3Di,1024,0.0,False,0,0.7970657288268609
ProstT5_full,2,0.3,AA+3Di,2048,44.0,True,0,0.967214182549165
ProstT5_full,2,0.3,AA+3Di,2048,0.0,True,0,0.96961548517318
ProstT5_full,2,0.3,AA+3Di,2048,4.0,True,0,0.9714627989937692
ProstT5_full,2,0.3,AA+3Di,2048,14.0,True,0,0.9676384767049864
ProstT5_full,2,0.3,AA+3Di,2048,24.0,True,0,0.969226952930426
ProstT5_full,2,0.3,AA+3Di,2048,34.0,True,0,0.9668159414757552
ProstT5_full,2,0.3,AA+3Di,2048,54.0,True,0,0.9662369853320552
ProstT5_full,2,0.3,AA+3Di,2048,64.0,True,0,0.9686692883762468
ProstT5_full,2,0.3,AA+3Di,2048,74.0,True,0,0.967856748490093
ProstT5_full,2,0.3,AA+3Di,2048,84.0,True,0,0.9642115486281644
ProstT5_full,2,0.3,AA+3Di,2048,4.0,False,10,0.8699347090311553
ProstT5_full,2,0.3,AA+3Di,2048,14.0,False,10,0.8693712570425758
ProstT5_full,2,0.3,AA+3Di,2048,24.0,False,10,0.8702763479838168
ProstT5_full,2,0.3,AA+3Di,2048,34.0,False,10,0.8760743955474297
ProstT5_full,2,0.3,AA+3Di,2048,44.0,False,10,0.8612509046609693
ProstT5_full,2,0.3,AA+3Di,2048,54.0,False,10,0.8610744549143703
ProstT5_full,2,0.3,AA+3Di,2048,64.0,False,10,0.8622985870352878
ProstT5_full,2,0.3,AA+3Di,2048,74.0,False,10,0.8373966149335204
ProstT5_full,2,0.3,AA+3Di,2048,84.0,False,10,0.7972677630498749
ProstT5_full,2,0.3,AA+3Di,2048,0.0,False,10,0.8796554083159507
ProstT5_full,2,0.35,AA+3Di,2048,24.0,False,0,0.8144497400664406
ProstT5_full,2,0.35,3Di,2048,24.0,False,0,0.6610452362628082
ProstT5_full,2,0.35,AA,2048,0.0,False,0,0.7841066216922491
ProstT5_full,2,0.35,AA,2060,0.0,False,0,0.784297823417336
ProstT5_full,2,0.35,AA,50,0.0,False,0,0.6384559877844301
ProstT5_full,4,0.35,AA,1024,0.0,False,0,0.7740451109113855
ProtT5_new,2,0.3,AA+3Di,2048,0.0,False,0,0.8077405585027929
ProtT5_new,2,0.3,AA+3Di,2048,24.0,False,0,0.8062590543990383
ProtT5_new,1,0.3,AA,128,0.0,False,0,0.7206715030042781
Ankh_base,2,0.3,AA+3Di,2048,0.0,False,0,0.7681171639183362
Ankh_large,2,0.3,AA+3Di,2048,0.0,False,0,0.7856396571496688
ESM2,2,0.3,AA+3Di,2048,0.0,False,0,0.7546744917656651
ProstT5_half,2,0.3,AA+3Di,2048,0.0,False,0,0.8185903866477449
TM_Vec,2,0.3,AA+3Di,2048,0.0,False,0,0.7604917450619109
ESM2,2,0.3,AA+3Di,2048,24.0,False,0,0.8063596589357557
ESM2,2,0.1,AA+3Di,2048,0.0,False,0,0.7881808852010028
ESM2,3,0.1,AA+3Di,2048,0.0,False,0,0.7864641480452658
ESM2,2,0.1,AA+3Di,4096,0.0,False,0,0.7923673344782676
ESM2,3,0.1,AA+3Di,4096,0.0,False,0,0.7893351553487798
ESM2,3,0.3,AA+3Di,2048,0.0,False,0,0.7877090981852461
ESM2,2,0.3,AA+3Di,4096,0.0,False,0,0.7890506844973236
ESM2,3,0.3,AA+3Di,4096,0.0,False,0,0.7747541497681877
ESM2,2,0.5,AA+3Di,2048,0.0,False,0,0.7659019643583979
ESM2,3,0.5,AA+3Di,2048,0.0,False,0,0.7691834650717202
ESM2,2,0.5,AA+3Di,4096,0.0,False,0,0.7693185727173304
ESM2,3,0.5,AA+3Di,4096,0.0,False,0,0.7419686591053808
ESM2,2,0.1,AA,2048,0.0,False,0,0.7243916508046596
ESM2,4,0.1,AA,1024,0.0,False,0,0.7184837654501262
ESM2,2,0.1,AA+3Di,4096,24.0,False,0,0.7607223436836327
Ankh_base,2,0.3,AA+3Di,2048,24.0,False,0,0.7732968674983663
Ankh_large,2,0.3,AA+3Di,2048,24.0,False,0,0.7828577697630049
TM_Vec,2,0.3,AA+3Di,2048,24.0,False,0,0.7649578543542721
